year,county,facilityType,vmt,laneMiles,minElast,maxElast
2016,Polk,Major Collector,73264242,860,0.5,0.7
2016,Polk,Minor Arterial,110396999,476,0.5,0.7
2016,Polk,Minor Collector,15314729,663,0.5,0.7
2016,Polk,Principal Arterial,146456671,358,0.7,1
2016,Pope,Local,23459777,1693,0.3,0.5
2016,Pope,Major Collector,32061296,306,0.5,0.7
2016,Pope,Minor Arterial,49018876,127,0.5,0.7
2016,Pope,Minor Collector,10137850,255,0.5,0.7
2016,Pope,Principal Arterial,38893916,70,0.7,1
2016,Ramsey,Freeway/Expressway,422358108,70,0.7,1
2016,Ramsey,Interstate,1906317859,288,0.7,1
2016,Ramsey,Local,454256154,2737,0.3,0.5
2016,Ramsey,Major Collector,252796668,370,0.5,0.7
2016,Ramsey,Minor Arterial,1440736261,974,0.5,0.7
2016,Ramsey,Principal Arterial,127207565,53,0.7,1
2016,Red Lake,Local,12283962,1098,0.3,0.5
2016,Red Lake,Major Collector,11277005,165,0.5,0.7
2016,Red Lake,Minor Arterial,20861534,115,0.5,0.7
2016,Red Lake,Minor Collector,1850961,117,0.5,0.7
2016,Red Lake,Principal Arterial,12646205,37,0.7,1
2016,Redwood,Local,38102396,2329,0.3,0.5
2016,Redwood,Major Collector,58901503,521,0.5,0.7
2016,Redwood,Minor Arterial,27549507,105,0.5,0.7
2016,Redwood,Minor Collector,10862545,273,0.5,0.7
2016,Redwood,Principal Arterial,78156770,162,0.7,1
2016,Renville,Local,46802691,2670,0.3,0.5
2016,Renville,Major Collector,56573592,539,0.5,0.7
2016,Renville,Minor Arterial,35133485,99,0.5,0.7
2016,Renville,Minor Collector,13399918,325,0.5,0.7
2016,Renville,Principal Arterial,101288116,151,0.7,1
2016,Rice,Interstate,312693861,101,0.7,1
2016,Rice,Local,68292711,1646,0.3,0.5
2016,Rice,Major Collector,97073265,356,0.5,0.7
2016,Rice,Minor Arterial,157808871,191,0.5,0.7
2016,Rice,Minor Collector,36861418,283,0.5,0.7
2016,Rice,Principal Arterial,69933850,48,0.7,1
2016,Rock,Interstate,76347476,82,0.7,1
2016,Rock,Local,23577382,1339,0.3,0.5
2016,Rock,Major Collector,34928411,296,0.5,0.7
2016,Rock,Minor Arterial,26117320,57,0.5,0.7
2016,Rock,Minor Collector,9883511,237,0.5,0.7
2016,Rock,Principal Arterial,12220304,35,0.7,1
2016,Roseau,Local,31304622,2900,0.3,0.5
2016,Roseau,Major Collector,24430839,432,0.5,0.7
2016,Roseau,Minor Arterial,14137580,103,0.5,0.7
2016,Roseau,Minor Collector,21946908,538,0.5,0.7
2016,Roseau,Principal Arterial,81655427,160,0.7,1
2016,Saint Louis,Freeway/Expressway,6661980,4,0.7,1
2016,Saint Louis,Interstate,185479988,63,0.7,1
2016,Saint Louis,Local,296815209,6945,0.3,0.5
2016,Saint Louis,Major Collector,315899373,1495,0.5,0.7
2016,Saint Louis,Minor Arterial,531833398,1000,0.5,0.7
2016,Saint Louis,Minor Collector,113955548,1427,0.5,0.7
2016,Saint Louis,Principal Arterial,666961778,830,0.7,1
2016,Scott,Freeway/Expressway,173187137,46,0.7,1
2016,Scott,Interstate,91539711,24,0.7,1
2016,Scott,Local,157350919,1724,0.3,0.5
2016,Scott,Major Collector,66997073,150,0.5,0.7
2016,Scott,Minor Arterial,502058717,582,0.5,0.7
2016,Scott,Minor Collector,17411640,146,0.5,0.7
2016,Scott,Principal Arterial,323208787,145,0.7,1
2016,Sherburne,Freeway/Expressway,6035202,4,0.7,1
2016,Sherburne,Local,101681471,1821,0.3,0.5
2016,Sherburne,Major Collector,117062499,323,0.5,0.7
2016,Sherburne,Minor Arterial,139220021,186,0.5,0.7
2016,Sherburne,Minor Collector,34066722,173,0.5,0.7
2016,Sherburne,Principal Arterial,520029559,244,0.7,1
2016,Sibley,Local,27207698,1502,0.3,0.5
2016,Sibley,Major Collector,46762050,321,0.5,0.7
2016,Sibley,Minor Arterial,78975789,182,0.5,0.7
2016,Sibley,Minor Collector,12349582,236,0.5,0.7
2016,Sibley,Principal Arterial,30768430,34,0.7,1
2016,Stearns,Interstate,622184888,231,0.7,1
2016,Stearns,Local,213771541,4330,0.3,0.5
2016,Stearns,Major Collector,254044946,876,0.5,0.7
2016,Stearns,Minor Arterial,280263276,301,0.5,0.7
2016,Stearns,Minor Collector,73996931,604,0.5,0.7
2016,Stearns,Principal Arterial,428022601,338,0.7,1
2016,Steele,Freeway/Expressway,38953139,43,0.7,1
2016,Steele,Interstate,238405400,98,0.7,1
2016,Steele,Local,48993664,1147,0.3,0.5
2016,Steele,Major Collector,85389479,394,0.5,0.7
2016,Steele,Minor Arterial,56150849,83,0.5,0.7
2016,Steele,Minor Collector,26186077,236,0.5,0.7
2016,Steele,Principal Arterial,50408386,50,0.7,1
2016,Stevens,Local,17009529,1397,0.3,0.5
2016,Stevens,Major Collector,21769008,274,0.5,0.7
2016,Stevens,Minor Arterial,35411042,91,0.5,0.7
2016,Stevens,Minor Collector,5158763,215,0.5,0.7
2016,Stevens,Principal Arterial,23481186,61,0.7,1
2016,Swift,Local,28588210,1871,0.3,0.5
2016,Swift,Major Collector,23599121,398,0.5,0.7
